,GEOID,CD
0,1500000US280330703242,02
1,1500000US280330703243,02
2,1500000US280330703251,02
3,1500000US280330703252,02
4,1500000US280330704111,02
5,1500000US280330704121,02
6,1500000US280330704212,02
7,1500000US280330705202,02
8,1500000US280330705222,02
9,1500000US280330707102,02
10,1500000US280330707212,02
11,1500000US280330708112,02
12,1500000US280330708221,02
13,1500000US280330710003,02
14,1500000US280350002003,03
15,1500000US280350006001,03
16,1500000US280350006005,03
17,1500000US280350008001,03
18,1500000US280350009001,03
19,1500000US280350010003,03
20,1500000US280350102002,03
21,1500000US280350103003,03
22,1500000US280350106004,04
23,1500000US280350107003,03
24,1500000US280399501012,04
25,1500000US280419501002,04
26,1500000US280439502003,02
27,1500000US280439504001,02
28,1500000US280439504004,02
29,1500000US280439505001,02
30,1500000US280439505002,02
31,1500000US280439505003,02
32,1500000US280450301002,04
33,1500000US280450302002,04
34,1500000US280450302006,04
35,1500000US280450303006,04
36,1500000US280450305001,04
37,1500000US280450306024,04
38,1500000US280470003002,04
39,1500000US280470006002,04
40,1500000US280470012011,04
41,1500000US280470012022,04
42,1500000US280470013002,04
43,1500000US280470014002,04
44,1500000US280470015012,04
45,1500000US280470016002,04
46,1500000US280470017002,04
47,1500000US280470018001,04
48,1500000US280470019003,04
49,1500000US280470024003,04
50,1500000US280470026002,04
51,1500000US280470027003,04
52,1500000US280470028003,04
53,1500000US280470031013,04
54,1500000US280470032041,04
55,1500000US280470032042,04
56,1500000US280470032052,04
57,1500000US280470032071,04
58,1500000US280470032083,04
59,1500000US280470033014,04
60,1500000US280470034024,04
61,1500000US280470034041,04
62,1500000US280470035013,04
63,1500000US280470035021,04
64,1500000US280470035042,04
65,1500000US280470035051,04
66,1500000US280470036001,04
67,1500000US280470037003,04
68,1500000US280470039001,04
69,1500000US280479900000,00
70,1500000US280490001003,01
71,1500000US280490002003,01
72,1500000US280490003011,01
73,1500000US280490003023,01
74,1500000US280490004002,01
75,1500000US280490005004,01
76,1500000US280490006003,01
77,1500000US280490008003,01
78,1500000US280490009002,01
79,1500000US280490011002,01
80,1500000US280490013003,01
81,1500000US280490015003,01
82,1500000US280490016003,01
83,1500000US280490020001,01
84,1500000US280490021003,01
85,1500000US280490024001,01
86,1500000US280490025002,01
87,1500000US280490030001,01
88,1500000US280490033001,01
89,1500000US280490033005,01
90,1500000US280490034002,01
91,1500000US280490035003,01
92,1500000US280490037002,01
93,1500000US280490101015,01
94,1500000US280490101023,01
95,1500000US280490102012,01
96,1500000US280490102024,01
97,1500000US280490103013,01
98,1500000US280490103042,01
99,1500000US280010001001,01
100,1500000US280010002003,01
101,1500000US280010003002,01
102,1500000US280010005002,01
103,1500000US280010007001,01
104,1500000US280010008004,01
105,1500000US280010009003,01
106,1500000US280039501004,02
107,1500000US280039502004,02
108,1500000US280039503003,02
109,1500000US280039505002,02
110,1500000US280039505005,02
111,1500000US280059501004,04
112,1500000US280059502004,01
113,1500000US280059503002,04
114,1500000US280070602001,03
115,1500000US280070605001,03
116,1500000US280070605002,03
117,1500000US280070605004,03
118,1500000US280119501002,01
119,1500000US280119502003,01
120,1500000US280119504004,01
121,1500000US280119506001,01
122,1500000US280119506005,01
123,1500000US280119507013,00
124,1500000US280139502002,02
125,1500000US280139504001,02
126,1500000US280159502004,02
127,1500000US280179501002,02
128,1500000US280179501003,02
129,1500000US280179504003,02
130,1500000US280199502004,02
131,1500000US280219501001,01
132,1500000US280219501002,01
133,1500000US280239502001,03
134,1500000US280239503003,03
135,1500000US280259501004,03
136,1500000US280259503001,03
137,1500000US280259503002,03
138,1500000US280259503004,03
139,1500000US280279501002,01
140,1500000US280279504001,01
141,1500000US280279505001,01
142,1500000US280279506002,01
143,1500000US280279507002,01
144,1500000US280299501003,03
145,1500000US280299504002,03
146,1500000US280299504005,03
147,1500000US280319502001,03
148,1500000US280330701011,02
149,1500000US280330701022,02
150,1500000US280330702213,02
151,1500000US280330703102,02
152,1500000US280590407005,04
153,1500000US280590408002,04
154,1500000US280590408003,04
155,1500000US280590410001,04
156,1500000US280590411002,04
157,1500000US280590413003,04
158,1500000US280590414001,04
159,1500000US280590416003,04
160,1500000US280590418001,04
161,1500000US280590418004,04
162,1500000US280590420003,04
163,1500000US280590421003,04
164,1500000US280590422004,04
165,1500000US280590426001,04
166,1500000US280590429002,04
167,1500000US280619502001,03
168,1500000US280639502001,01
169,1500000US280659501005,03
170,1500000US280659502021,03
171,1500000US280679501004,03
172,1500000US280679504011,03
173,1500000US280679505001,03
174,1500000US280679506003,03
175,1500000US280679507003,03
176,1500000US280679509005,03
177,1500000US280679510004,03
178,1500000US280679800001,03
179,1500000US280790404001,02
180,1500000US280790406003,03
181,1500000US280790406005,03
182,1500000US280819501013,02
183,1500000US280819502014,03
184,1500000US280819503023,03
185,1500000US280819504022,03
186,1500000US280819505004,03
187,1500000US280819506022,03
188,1500000US280819508001,03
189,1500000US280819509021,03
190,1500000US280819510021,03
191,1500000US280819511005,03
192,1500000US280839502003,01
193,1500000US280839503002,01
194,1500000US280839506002,01
195,1500000US280839506005,01
196,1500000US280839507003,01
197,1500000US280839508004,01
198,1500000US280839509003,01
199,1500000US280859504001,04
200,1500000US280859505001,03
201,1500000US280859505004,03
202,1500000US280859506005,03
203,1500000US280870003002,03
204,1500000US280690301002,03
205,1500000US280719502011,02
206,1500000US280719502012,02
207,1500000US280719502013,02
208,1500000US280719503013,02
209,1500000US280719504022,02
210,1500000US280719505033,02
211,1500000US280730202011,04
212,1500000US280730203012,03
213,1500000US280730203022,03
214,1500000US280730206004,04
215,1500000US280750002001,03
216,1500000US280750002002,03
217,1500000US280750003002,03
218,1500000US280750004004,03
219,1500000US280750007001,03
220,1500000US280750008001,03
221,1500000US280750009003,00
222,1500000US280750010004,03
223,1500000US280750011013,03
224,1500000US280750102023,03
225,1500000US280750106004,04
226,1500000US280750107002,03
227,1500000US280779602004,03
228,1500000US280490104002,01
229,1500000US280490104003,01
230,1500000US280490104004,01
231,1500000US280490105005,01
232,1500000US280490108011,01
233,1500000US280490108041,01
234,1500000US280490108052,01
235,1500000US280490108081,01
236,1500000US280490109011,01
237,1500000US280490109022,01
238,1500000US280490111011,01
239,1500000US280490111022,01
240,1500000US280490114001,01
241,1500000US280490114002,01
242,1500000US280519501004,03
243,1500000US280519502003,03
244,1500000US280519503002,01
245,1500000US280519505002,03
246,1500000US280539502003,01
247,1500000US280579502001,02
248,1500000US280579503002,02
249,1500000US280579505003,02
250,1500000US280590402013,04
251,1500000US280590402043,04
252,1500000US280590403005,04
253,1500000US280590405002,04
254,1500000US280590405005,04
255,1500000US280590406003,04
256,1500000US280590407003,04
257,1500000US280959504003,02
258,1500000US280959506002,03
259,1500000US280959507002,03
260,1500000US280959508003,03
261,1500000US280979503002,02
262,1500000US280990104001,03
263,1500000US280990104003,03
264,1500000US280990107003,02
265,1500000US281010503001,03
266,1500000US281010504002,03
267,1500000US281010505004,03
268,1500000US281039502001,03
269,1500000US281059502002,03
270,1500000US281059503001,03
271,1500000US281059505001,03
272,1500000US281059506012,03
273,1500000US281059507005,03
274,1500000US281079502001,02
275,1500000US281079505002,02
276,1500000US281079506001,02
277,1500000US281079506004,02
278,1500000US281099503002,04
279,1500000US281099505011,04
280,1500000US281210206001,01
281,1500000US281210206002,01
282,1500000US281210207031,01
283,1500000US281210208012,01
284,1500000US281210210011,01
285,1500000US281210210031,01
286,1500000US281230202003,02
287,1500000US281230204002,03
288,1500000US281259501001,01
289,1500000US281259502002,01
290,1500000US281279502002,03
291,1500000US281279504001,03
292,1500000US281279505001,03
293,1500000US281299502006,03
294,1500000US281310202023,04
295,1500000US281339501002,01
296,1500000US281339502002,01
297,1500000US281339503001,01
298,1500000US281339504013,01
299,1500000US281339504023,01
300,1500000US281359502001,02
301,1500000US281359503002,01
302,1500000US281099505012,04
303,1500000US281099505013,04
304,1500000US281099506001,04
305,1500000US281099507003,04
306,1500000US281139501011,04
307,1500000US281139502002,04
308,1500000US281139503004,04
309,1500000US281139505003,04
310,1500000US281139505006,04
311,1500000US281159501011,02
312,1500000US281159502002,02
313,1500000US281159505003,02
314,1500000US281179503001,02
315,1500000US281179503005,02
316,1500000US281199502001,01
317,1500000US281199503003,01
318,1500000US281210202061,03
319,1500000US281210202081,01
320,1500000US281210202093,01
321,1500000US281210202112,01
322,1500000US281210203012,01
323,1500000US281210204012,01
324,1500000US281210205002,01
325,1500000US280870004033,03
326,1500000US280870004041,03
327,1500000US280870005001,03
328,1500000US280870007001,03
329,1500000US280870008002,03
330,1500000US280870008004,03
331,1500000US280890301011,01
332,1500000US280890301014,01
333,1500000US280890301052,01
334,1500000US280890301061,01
335,1500000US280890301063,01
336,1500000US280890301081,01
337,1500000US280890301084,01
338,1500000US280890302021,01
339,1500000US280890302022,01
340,1500000US280890302051,01
341,1500000US280890303012,01
342,1500000US280890305001,03
343,1500000US280890306001,03
344,1500000US280890308001,03
345,1500000US280890310002,03
346,1500000US280919503001,04
347,1500000US280919504002,04
348,1500000US280939501003,02
349,1500000US280939503004,02
350,1500000US280939504023,02
351,1500000US280939505005,02
352,1500000US280959502002,03
353,1500000US280959503001,02
354,1500000US280959504001,02
355,1500000US280330704222,02
356,1500000US280330705201,02
357,1500000US280330705211,02
358,1500000US280330705212,02
359,1500000US280330705221,02
360,1500000US280330705223,02
361,1500000US280330706101,02
362,1500000US280330706201,02
363,1500000US280330706301,02
364,1500000US280330706302,02
365,1500000US280330707101,02
366,1500000US280330707211,02
367,1500000US280330707221,02
368,1500000US280330707222,02
369,1500000US280330708111,02
370,1500000US280330708121,02
371,1500000US280330708122,02
372,1500000US280330708211,02
373,1500000US280330708212,02
374,1500000US280330708222,02
375,1500000US280330708301,02
376,1500000US280330709001,02
377,1500000US280330709002,02
378,1500000US281359504003,02
379,1500000US281379501001,02
380,1500000US281379504001,02
381,1500000US281379504002,02
382,1500000US281379504004,02
383,1500000US281399503001,02
384,1500000US281399503003,02
385,1500000US281399504006,02
386,1500000US281419502002,02
387,1500000US281419504005,02
388,1500000US281439502002,01
389,1500000US281439800001,01
390,1500000US281459503001,02
391,1500000US281459504002,02
392,1500000US281459506001,02
393,1500000US281499501004,01
394,1500000US281499503001,01
395,1500000US281499503003,01
396,1500000US281499505001,01
397,1500000US281499507001,01
398,1500000US281499509022,01
399,1500000US281510001001,01
400,1500000US281510002001,01
401,1500000US281510004002,01
402,1500000US281510004004,01
403,1500000US281510006005,01
404,1500000US281510007011,01
405,1500000US281510007012,01
406,1500000US281510007013,01
407,1500000US281510007021,01
408,1500000US281510007023,01
409,1500000US281510009003,01
410,1500000US281510011001,01
411,1500000US281510012003,01
412,1500000US281510014002,01
413,1500000US281510016001,01
414,1500000US281510017001,01
415,1500000US281510021001,01
416,1500000US281539502002,04
417,1500000US281559501003,02
418,1500000US281559503001,00
419,1500000US281579501001,01
420,1500000US281579502001,01
421,1500000US281579502004,01
422,1500000US281599503001,03
423,1500000US281599503003,03
424,1500000US281599504002,03
425,1500000US281619501003,02
426,1500000US281619503002,02
427,1500000US281639502001,01
428,1500000US281639502003,01
429,1500000US281639503004,01
430,1500000US281639504002,01
431,1500000US280330704122,02
432,1500000US280330704123,02
433,1500000US280330704211,02
434,1500000US280330704221,02
435,1500000US280350007001,03
436,1500000US280350007002,03
