,GEOID,CD
0,1500000US280330703242,03
1,1500000US280330703243,03
2,1500000US280330703251,03
3,1500000US280330703252,03
4,1500000US280330704111,03
5,1500000US280330704121,03
6,1500000US280330704212,03
7,1500000US280330705202,03
8,1500000US280330705222,03
9,1500000US280330707102,03
10,1500000US280330707212,03
11,1500000US280330708112,03
12,1500000US280330708221,03
13,1500000US280330710003,03
14,1500000US280350002003,04
15,1500000US280350006001,04
16,1500000US280350006005,04
17,1500000US280350008001,04
18,1500000US280350009001,04
19,1500000US280350010003,04
20,1500000US280350102002,04
21,1500000US280350103003,04
22,1500000US280350106004,02
23,1500000US280350107003,04
24,1500000US280399501012,02
25,1500000US280419501002,02
26,1500000US280439502003,03
27,1500000US280439504001,03
28,1500000US280439504004,03
29,1500000US280439505001,03
30,1500000US280439505002,03
31,1500000US280439505003,03
32,1500000US280450301002,02
33,1500000US280450302002,02
34,1500000US280450302006,02
35,1500000US280450303006,02
36,1500000US280450305001,02
37,1500000US280450306024,02
38,1500000US280470003002,02
39,1500000US280470006002,02
40,1500000US280470012011,02
41,1500000US280470012022,02
42,1500000US280470013002,02
43,1500000US280470014002,02
44,1500000US280470015012,02
45,1500000US280470016002,02
46,1500000US280470017002,02
47,1500000US280470018001,02
48,1500000US280470019003,02
49,1500000US280470024003,02
50,1500000US280470026002,02
51,1500000US280470027003,02
52,1500000US280470028003,02
53,1500000US280470031013,02
54,1500000US280470032041,02
55,1500000US280470032042,02
56,1500000US280470032052,02
57,1500000US280470032071,02
58,1500000US280470032083,02
59,1500000US280470033014,02
60,1500000US280470034024,02
61,1500000US280470034041,02
62,1500000US280470035013,02
63,1500000US280470035021,02
64,1500000US280470035042,02
65,1500000US280470035051,02
66,1500000US280470036001,02
67,1500000US280470037003,02
68,1500000US280470039001,02
69,1500000US280479900000,00
70,1500000US280490001003,04
71,1500000US280490002003,04
72,1500000US280490003011,04
73,1500000US280490003023,04
74,1500000US280490004002,04
75,1500000US280490005004,04
76,1500000US280490006003,01
77,1500000US280490008003,01
78,1500000US280490009002,01
79,1500000US280490011002,04
80,1500000US280490013003,04
81,1500000US280490015003,04
82,1500000US280490016003,00
83,1500000US280490020001,04
84,1500000US280490021003,01
85,1500000US280490024001,04
86,1500000US280490025002,04
87,1500000US280490030001,04
88,1500000US280490033001,04
89,1500000US280490033005,04
90,1500000US280490034002,04
91,1500000US280490035003,00
92,1500000US280490037002,04
93,1500000US280490101015,04
94,1500000US280490101023,04
95,1500000US280490102012,04
96,1500000US280490102024,01
97,1500000US280490103013,01
98,1500000US280490103042,01
99,1500000US280010001001,01
100,1500000US280010002003,01
101,1500000US280010003002,01
102,1500000US280010005002,01
103,1500000US280010007001,01
104,1500000US280010008004,01
105,1500000US280010009003,01
106,1500000US280039501004,03
107,1500000US280039502004,03
108,1500000US280039503003,03
109,1500000US280039505002,03
110,1500000US280039505005,03
111,1500000US280059501004,01
112,1500000US280059502004,01
113,1500000US280059503002,01
114,1500000US280070602001,01
115,1500000US280070605001,01
116,1500000US280070605002,01
117,1500000US280070605004,01
118,1500000US280119501002,01
119,1500000US280119502003,01
120,1500000US280119504004,01
121,1500000US280119506001,01
122,1500000US280119506005,01
123,1500000US280119507013,00
124,1500000US280139502002,03
125,1500000US280139504001,03
126,1500000US280159502004,01
127,1500000US280179501002,04
128,1500000US280179501003,04
129,1500000US280179504003,03
130,1500000US280199502004,04
131,1500000US280219501001,01
132,1500000US280219501002,01
133,1500000US280239502001,02
134,1500000US280239503003,02
135,1500000US280259501004,04
136,1500000US280259503001,04
137,1500000US280259503002,04
138,1500000US280259503004,04
139,1500000US280279501002,01
140,1500000US280279504001,01
141,1500000US280279505001,01
142,1500000US280279506002,01
143,1500000US280279507002,01
144,1500000US280299501003,04
145,1500000US280299504002,04
146,1500000US280299504005,04
147,1500000US280319502001,04
148,1500000US280330701011,01
149,1500000US280330701022,01
150,1500000US280330702213,01
151,1500000US280330703102,03
152,1500000US280590407005,02
153,1500000US280590408002,02
